  <print>Using Component 'Rigid Bodies'</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/tex/1.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/mask/1.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/tex/2.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/mask/2.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/tex/3.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/mask/3.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/tex/4.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/mask/4.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/tex/5.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/mask/5.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/tex/6.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/mask/6.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/tex/7.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/mask/7.jpg: 480 x 270</print>
  <print>reading C:/Army2015/PhysDrive-PC/Public_Data/Archives/Rigid_Bodies/flag_tex/tex/8.jpg: 480 x 270</print>
